Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
manera	N	167859	423.384	486.252
segundo	M	167043	421.326	483.888
tipo	N	166376	419.643	481.956
pues	C	166279	419.399	481.675
historia	N	165603	417.694	479.717
buscar	V	165471	417.361	479.334
contra	P	164804	415.678	477.402
nunca	R	164066	413.817	475.264
mucho	R	162027	408.674	469.358
casi	R	161814	408.137	468.741
además	R	159363	401.955	461.641
alto	A	158871	400.714	460.216
proceso	N	157356	396.893	455.827
partido	N	157192	396.479	455.352
político	A	156966	395.909	454.697
según	P	155891	393.197	451.583
mes	N	155455	392.098	450.32
medio	N	153466	387.081	444.558
noche	N	152348	384.261	441.32
mientras	C	151548	382.243	439.002
abrir	V	150805	380.369	436.85
cambio	N	150183	378.8	435.048
existir	V	149982	378.293	434.466
solo	R	149126	376.134	431.986
equipo	N	149013	375.849	431.659
considerar	V	148655	374.946	430.622
agua	N	148262	373.955	429.484
más	Q	147786	372.755	428.105
obra	N	147569	372.207	427.476
aquí	R	147028	370.843	425.909
mí	L	146792	370.247	425.225
perder	V	146724	370.076	425.028
cuenta	N	146639	369.862	424.782
varios	Q	146557	369.655	424.544
estudio	N	146198	368.749	423.505
centro	N	145057	365.871	420.199
trabajar	V	143849	362.824	416.7
empresa	N	143677	362.391	416.202
ninguno	Q	143266	361.354	415.011
general	A	142672	359.856	413.29
sin embargo	R	142405	359.182	412.517
servicio	N	142236	358.756	412.027
nivel	N	141410	356.673	409.635
tras	P	141319	356.443	409.371
empezar	V	141216	356.183	409.073
lado	N	140734	354.968	407.676
mantener	V	140309	353.896	406.445
pequeño	A	139529	351.928	404.186
recibir	V	139333	351.434	403.618
recordar	V	139138	350.942	403.053
gente	N	138976	350.533	402.584
explicar	V	138725	349.9	401.857
//	Y	137111	345.829	397.181
lograr	V	136467	344.205	395.316
desarrollo	N	135894	342.76	393.656
proyecto	N	135700	342.271	393.094
largo	A	133879	337.678	387.819
preguntar	V	133870	337.655	387.793
madre	N	133486	336.686	386.681
poco	Q	132957	335.352	385.148
comenzar	V	131969	332.86	382.286
tanto	R	130771	329.838	378.816
derecho	N	130505	329.167	378.045
situación	N	130460	329.054	377.915
información	N	129739	327.235	375.826
único	A	129717	327.18	375.763
pedir	V	129532	326.713	375.227
entrar	V	129316	326.168	374.601
familia	N	129155	325.762	374.135
semana	N	128973	325.303	373.607
ejemplo	N	127883	322.554	370.45
convertir	V	127369	321.258	368.961
ojo	N	127290	321.058	368.732
relación	N	127072	320.508	368.101
cualquiera	Q	126192	318.289	365.551
producir	V	126050	317.931	365.14
actividad	N	125335	316.127	363.069
económico	A	125168	315.706	362.585
aún	R	124857	314.922	361.684
dentro	R	124717	314.569	361.279
palabra	N	124458	313.915	360.528
libro	N	124291	313.494	360.045
mostrar	V	124096	313.002	359.48
humano	A	123564	311.66	357.939
cuatro	M	123539	311.597	357.866
salud	N	122911	310.013	356.047
cuerpo	N	122740	309.582	355.552
fin	N	122224	308.281	354.057
tema	N	121838	307.307	352.939
posible	A	121374	306.137	351.595
amigo	N	121274	305.884	351.305
programa	N	120946	305.057	350.355
entender	V	120712	304.467	349.677
señalar	V	120142	303.029	348.026
escribir	V	119472	301.339	346.085
hecho	N	118867	299.813	344.332
resultado	N	118537	298.981	343.376
utilizar	V	118402	298.641	342.985
a través de	P	118285	298.345	342.647
ley	N	116622	294.151	337.829
usted	L	116288	293.308	336.862
nadie	Q	116164	292.996	336.502
idea	N	113503	286.284	328.794
diferente	A	113496	286.266	328.774
nombre	N	113065	285.179	327.525
terminar	V	112820	284.561	326.816
zona	N	112185	282.96	324.976
crear	V	110868	279.638	321.161
internacional	A	110758	279.36	320.842
número	N	110041	277.552	318.765
morir	V	109127	275.247	316.118
ganar	V	108656	274.059	314.753
allí	R	108462	273.569	314.191
sector	N	108408	273.433	314.035
España	K	107514	271.178	311.445
final	N	107099	270.131	310.243
incluir	V	107072	270.063	310.165
espacio	N	105834	266.941	306.579
paso	N	105638	266.446	306.011
sociedad	N	105577	266.293	305.834
investigación	N	105478	266.043	305.547
gustar	V	105221	265.395	304.803
asegurar	V	105062	264.994	304.342
ocurrir	V	104423	263.382	302.491
principal	A	104268	262.991	302.042
