Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
aprovechar	V	42878	108.149	124.208
asumir	V	42877	108.147	124.206
concepto	N	42833	108.036	124.078
carácter	N	42759	107.849	123.864
Chile	K	42718	107.746	123.745
instituto	N	42713	107.733	123.73
recoger	V	42705	107.713	123.707
escena	N	42620	107.499	123.461
ayuda	N	42611	107.476	123.435
naturaleza	N	42590	107.423	123.374
tal vez	R	42586	107.413	123.363
directo	A	42391	106.921	122.798
recuperar	V	42359	106.84	122.705
creación	N	42345	106.805	122.664
fundamental	A	42322	106.747	122.598
motivo	N	42312	106.722	122.569
sangre	N	42268	106.611	122.441
grado	N	42179	106.386	122.184
opinión	N	42149	106.311	122.097
escritor	N	42057	106.079	121.83
organismo	N	42029	106.008	121.749
oficial	A	42023	105.993	121.732
verdadero	A	42010	105.96	121.694
aplicación	N	41992	105.915	121.642
frente	N	41976	105.874	121.596
foto	N	41850	105.557	121.231
educativo	A	41801	105.433	121.089
proteger	V	41777	105.372	121.019
completo	A	41774	105.365	121.01
militar	A	41750	105.304	120.941
mitad	N	41738	105.274	120.906
noticia	N	41649	105.05	120.648
piel	N	41583	104.883	120.457
rostro	N	41582	104.881	120.454
contener	V	41578	104.87	120.443
tarea	N	41535	104.762	120.318
atender	V	41492	104.654	120.194
pareja	N	41397	104.414	119.918
reforma	N	41387	104.389	119.889
edificio	N	41377	104.364	119.86
rey	N	41309	104.192	119.663
temporada	N	41290	104.144	119.608
territorio	N	41251	104.046	119.495
desaparecer	V	41214	103.952	119.388
depender	V	41104	103.675	119.07
industria	N	41073	103.597	118.98
doctor	N	41057	103.556	118.933
vía	N	41054	103.549	118.925
río	N	41038	103.508	118.878
negar	V	40961	103.314	118.655
generación	N	40939	103.259	118.592
mencionar	V	40868	103.08	118.386
usuario	N	40866	103.075	118.38
confirmar	V	40788	102.878	118.154
etapa	N	40785	102.87	118.145
preferir	V	40768	102.827	118.096
imponer	V	40735	102.744	118.001
preocupar	V	40725	102.719	117.972
resolver	V	40688	102.626	117.864
diario	N	40679	102.603	117.838
solución	N	40651	102.532	117.757
basar	V	40617	102.447	117.659
amplio	A	40508	102.172	117.343
quitar	V	40488	102.121	117.285
golpe	N	40308	101.667	116.764
surgir	V	40273	101.579	116.662
venta	N	40227	101.463	116.529
ocho	M	40187	101.362	116.413
determinar	V	40179	101.342	116.39
interno	A	40170	101.319	116.364
permanecer	V	40081	101.095	116.106
expresión	N	40003	100.898	115.88
cierto	A	39992	100.87	115.848
integrar	V	39976	100.83	115.802
congreso	N	39964	100.8	115.767
advertir	V	39960	100.789	115.756
secretario	N	39928	100.709	115.663
fiesta	N	39906	100.653	115.599
mamá	N	39905	100.651	115.596
suerte	N	39904	100.648	115.593
mexicano	A	39874	100.573	115.507
competencia	N	39771	100.313	115.208
romper	V	39744	100.245	115.13
género	N	39717	100.177	115.052
defender	V	39704	100.144	115.014
igual	A	39661	100.035	114.889
financiero	A	39643	99.99	114.837
mensaje	N	39617	99.924	114.762
similar	A	39606	99.897	114.73
viajar	V	39565	99.793	114.611
comercial	A	39526	99.695	114.498
responsabilidad	N	39449	99.501	114.275
corresponder	V	39430	99.453	114.22
apuntar	V	39349	99.248	113.986
implicar	V	39233	98.956	113.65
exigir	V	39187	98.84	113.516
bastante	R	39102	98.625	113.27
familiar	A	39085	98.582	113.221
valer	V	39062	98.524	113.154
documento	N	39037	98.461	113.082
esposo	N	38996	98.358	112.963
español	N	38974	98.303	112.899
muestra	N	38936	98.207	112.789
aprobar	V	38931	98.194	112.775
candidato	N	38825	97.927	112.468
fútbol	N	38808	97.884	112.419
enorme	A	38731	97.69	112.195
concluir	V	38710	97.637	112.135
avanzar	V	38705	97.624	112.12
ejercicio	N	38695	97.599	112.091
opción	N	38666	97.526	112.007
4	N	38648	97.48	111.955
visitar	V	38631	97.437	111.906
guardar	V	38613	97.392	111.854
plazo	N	38559	97.256	111.697
visita	N	38532	97.188	111.619
detalle	N	38529	97.18	111.61
marco	N	38449	96.978	111.379
lucha	N	38412	96.885	111.271
vivo	A	38369	96.777	111.147
hotel	N	38341	96.706	111.066
ámbito	N	38322	96.658	111.011
duro	A	38310	96.628	110.976
julio	N	38290	96.577	110.918
habitación	N	38284	96.562	110.901
ni siquiera	R	38240	96.451	110.773
muchacho	N	38171	96.277	110.573
barrio	N	38148	96.219	110.507
alumno	N	38085	96.06	110.324
lista	N	37979	95.793	110.017
café	N	37975	95.783	110.006
conflicto	N	37948	95.715	109.927
enero	N	37914	95.629	109.829
reír	V	37901	95.596	109.791
estilo	N	37804	95.351	109.51
contestar	V	37774	95.276	109.423
salida	N	37692	95.069	109.186
entidad	N	37683	95.046	109.16
piso	N	37677	95.031	109.142
diciembre	N	37663	94.996	109.102
claro	R	37653	94.971	109.073
cruzar	V	37647	94.955	109.055
parar	V	37623	94.895	108.986
unir	V	37599	94.834	108.916
incorporar	V	37588	94.807	108.884
adecuado	A	37507	94.602	108.65
oficina	N	37437	94.426	108.447
médico	A	37433	94.416	108.435
electoral	A	37302	94.085	108.056
invitar	V	37298	94.075	108.044
sur	N	37296	94.07	108.039
puesto	N	37212	93.858	107.795
alrededor	R	37209	93.851	107.787
tío	N	37187	93.795	107.723
clave	N	37185	93.79	107.717
comida	N	37169	93.75	107.671
-	Y	37160	93.727	107.645
tradicional	A	37158	93.722	107.639
destino	N	37143	93.684	107.595
adelante	R	37104	93.586	107.482
en cuanto a	P	37104	93.586	107.482
rojo	A	37060	93.475	107.355
aumento	N	37049	93.447	107.323
norte	N	37028	93.394	107.262
paz	N	37022	93.379	107.245
corte	N	37019	93.372	107.236
básico	A	37011	93.351	107.213
versión	N	36986	93.288	107.141
total	A	36968	93.243	107.088
revista	N	36909	93.094	106.918
adquirir	V	36816	92.859	106.648
primero	R	36800	92.819	106.602
acordar	V	36776	92.759	106.532
periodista	N	36771	92.746	106.518
tirar	V	36760	92.718	106.486
beneficio	N	36706	92.582	106.329
5	N	36681	92.519	106.257
pieza	N	36661	92.469	106.199
20	M	36646	92.431	106.156
grave	A	36642	92.421	106.144
isla	N	36629	92.388	106.106
detrás	R	36618	92.36	106.075
profesional	A	36531	92.141	105.823
empleo	N	36423	91.868	105.51
controlar	V	36393	91.793	105.423
mayo	N	36371	91.737	105.359
cliente	N	36351	91.687	105.301
colegio	N	36334	91.644	105.252
iniciativa	N	36296	91.548	105.142
existencia	N	36261	91.46	105.04
selección	N	36229	91.379	104.948
cuánto	W	36210	91.331	104.893
profundo	A	36150	91.18	104.719
visión	N	36129	91.127	104.658
igual	R	36117	91.096	104.623
canción	N	36085	91.016	104.531
insistir	V	36072	90.983	104.493
vecino	N	36048	90.922	104.423
funcionario	N	36038	90.897	104.394
impacto	N	35929	90.622	104.079
protección	N	35900	90.549	103.995
lengua	N	35889	90.521	103.963
marcha	N	35854	90.433	103.861
causar	V	35846	90.413	103.838
despertar	V	35810	90.322	103.734
demanda	N	35781	90.249	103.65
corto	A	35776	90.236	103.635
máximo	A	35747	90.163	103.551
contacto	N	35643	89.901	103.25
total	N	35630	89.868	103.213
disfrutar	V	35622	89.848	103.189
jornada	N	35580	89.742	103.068
conducir	V	35538	89.636	102.946
final	A	35533	89.623	102.932
pena	N	35519	89.588	102.891
marzo	N	35410	89.313	102.575
llorar	V	35382	89.243	102.494
oscuro	A	35375	89.225	102.474
sonreír	V	35293	89.018	102.236
Venezuela	K	35277	88.978	102.19
cuarto	N	35276	88.975	102.187
gasto	N	35276	88.975	102.187
ambiente	N	35251	88.912	102.115
municipio	N	35251	88.912	102.115
interesar	V	35250	88.91	102.112
cuestión	N	35245	88.897	102.097
positivo	A	35214	88.819	102.007
cifra	N	35207	88.801	101.987
pared	N	35206	88.799	101.984
pensamiento	N	35199	88.781	101.964
pobre	A	35187	88.751	101.929
gritar	V	35044	88.39	101.515
gol	N	35035	88.367	101.489
maestro	N	34989	88.251	101.356
agente	N	34968	88.198	101.295
declaración	N	34941	88.13	101.217
evento	N	34886	87.992	101.057
norma	N	34870	87.951	101.011
compromiso	N	34855	87.913	100.968
iglesia	N	34851	87.903	100.956
pese a	P	34822	87.83	100.872
representante	N	34815	87.812	100.852
discurso	N	34805	87.787	100.823
distancia	N	34774	87.709	100.733
error	N	34755	87.661	100.678
sábado	N	34697	87.515	100.51
hogar	N	34663	87.429	100.411
museo	N	34656	87.411	100.391
categoría	N	34648	87.391	100.368
laboral	A	34603	87.278	100.238
costo	N	34601	87.273	100.232
técnica	N	34599	87.268	100.226
garantizar	V	34583	87.227	100.18
situar	V	34582	87.225	100.177
juez	N	34581	87.222	100.174
inmediato	A	34544	87.129	100.067
deseo	N	34500	87.018	99.939
vivienda	N	34495	87.005	99.925
provincia	N	34464	86.927	99.835
costar	V	34397	86.758	99.641
arma	N	34379	86.713	99.589
propiedad	N	34372	86.695	99.568
marca	N	34228	86.332	99.151
gesto	N	34203	86.269	99.079
investigador	N	34177	86.203	99.004
método	N	34162	86.165	98.96
sonar	V	34153	86.143	98.934
coche	N	34145	86.123	98.911
rato	N	34134	86.095	98.879
estrella	N	34128	86.08	98.862
prever	V	34128	86.08	98.862
junto	A	34117	86.052	98.83
sorprender	V	34113	86.042	98.818
altura	N	34093	85.991	98.76
impedir	V	34091	85.986	98.754
mañana	R	34083	85.966	98.731
inicio	N	34023	85.815	98.557
ventana	N	34022	85.812	98.555
curso	N	33902	85.51	98.207
exponer	V	33853	85.386	98.065
imposible	A	33799	85.25	97.909
sexual	A	33794	85.237	97.894
actitud	N	33786	85.217	97.871
carne	N	33766	85.167	97.813
instrumento	N	33754	85.136	97.778
municipal	A	33690	84.975	97.593
bien	N	33660	84.899	97.506
cielo	N	33635	84.836	97.433
eh	I	33588	84.718	97.297
cercano	A	33500	84.496	97.042
contexto	N	33453	84.377	96.906
edición	N	33439	84.342	96.866
kilómetro	N	33428	84.314	96.834
árbol	N	33418	84.289	96.805
feliz	A	33384	84.203	96.706
comercio	N	33379	84.19	96.692
cocina	N	33282	83.946	96.411
separar	V	33251	83.868	96.321
intervención	N	33241	83.842	96.292
período	N	33229	83.812	96.257
cuidado	N	33224	83.8	96.243
ropa	N	33192	83.719	96.15
contribuir	V	33179	83.686	96.113
serio	A	33165	83.651	96.072
poseer	V	33076	83.426	95.814
regional	A	33005	83.247	95.608
cantar	V	32959	83.131	95.475
Barcelona	K	32953	83.116	95.458
dificultad	N	32952	83.113	95.455
conversación	N	32897	82.975	95.296
dedo	N	32893	82.965	95.284
extender	V	32885	82.944	95.261
específico	A	32861	82.884	95.191
diseño	N	32855	82.869	95.174
favor	N	32830	82.806	95.102
medio	A	32821	82.783	95.075
si bien	C	32661	82.379	94.612
mandar	V	32609	82.248	94.461
referencia	N	32588	82.195	94.401
vestir	V	32558	82.12	94.314
tendencia	N	32526	82.039	94.221
aportar	V	32524	82.034	94.215
tribunal	N	32476	81.913	94.076
promover	V	32453	81.855	94.009
describir	V	32447	81.84	93.992
notar	V	32436	81.812	93.96
estadounidense	A	32271	81.396	93.482
cuarto	M	32264	81.378	93.462
tasa	N	32230	81.292	93.363
ataque	N	32226	81.282	93.352
pelo	N	32214	81.252	93.317
arriba	R	32205	81.229	93.291
sensación	N	32175	81.154	93.204
vehículo	N	32160	81.116	93.161
viernes	N	32156	81.106	93.149
octubre	N	32151	81.093	93.135
fuego	N	32147	81.083	93.123
gracia	N	32099	80.962	92.984
extraño	A	32096	80.954	92.975
realmente	R	32087	80.932	92.949
simple	A	32034	80.798	92.796
pierna	N	32010	80.738	92.726
fenómeno	N	31991	80.69	92.671
a la que	C	31965	80.624	92.596
normal	A	31960	80.611	92.581
mínimo	A	31950	80.586	92.552
recuerdo	N	31920	80.511	92.465
francés	A	31886	80.425	92.367
argentino	A	31832	80.289	92.211
pérdida	N	31822	80.263	92.182
exposición	N	31810	80.233	92.147
precisamente	R	31766	80.122	92.019
retirar	V	31762	80.112	92.008
experto	N	31733	80.039	91.924
fijar	V	31704	79.966	91.84
copa	N	31702	79.961	91.834
pasado	N	31672	79.885	91.747
abril	N	31614	79.739	91.579
reciente	A	31610	79.729	91.567
enseñar	V	31594	79.688	91.521
piedra	N	31587	79.671	91.501
intención	N	31542	79.557	91.37
actualmente	R	31541	79.555	91.368
15	M	31534	79.537	91.347
contrato	N	31529	79.524	91.333
Cuba	K	31486	79.416	91.208
literatura	N	31392	79.179	90.936
mecanismo	N	31348	79.068	90.808
papá	N	31332	79.027	90.762
banda	N	31322	79.002	90.733
cortar	V	31310	78.972	90.698
determinado	A	31294	78.932	90.652
coger	V	31265	78.858	90.568
Brasil	K	31263	78.853	90.562
quizás	R	31226	78.76	90.455
]	Y	31195	78.682	90.365
parque	N	31155	78.581	90.249
acudir	V	31129	78.515	90.174
hoja	N	31113	78.475	90.128
diputado	N	31111	78.47	90.122
identidad	N	31008	78.21	89.824
[	Y	30984	78.15	89.754
de acuerdo con	P	30984	78.15	89.754
límite	N	30948	78.059	89.65
pertenecer	V	30909	77.961	89.537
instalar	V	30867	77.855	89.415
productor	N	30832	77.766	89.314
nota	N	30816	77.726	89.267
10	N	30751	77.562	89.079
capítulo	N	30698	77.428	88.926
revelar	V	30698	77.428	88.926
elaborar	V	30669	77.355	88.842
junio	N	30667	77.35	88.836
contemplar	V	30601	77.184	88.645
disco	N	30599	77.179	88.639
victoria	N	30588	77.151	88.607
peor	A	30580	77.131	88.584
no obstante	R	30578	77.126	88.578
presión	N	30567	77.098	88.546
urbano	A	30562	77.085	88.532
firmar	V	30527	76.997	88.43
entrevista	N	30495	76.916	88.338
asistir	V	30465	76.841	88.251
confianza	N	30449	76.8	88.204
espalda	N	30360	76.576	87.946
lectura	N	30351	76.553	87.92
daño	N	30342	76.53	87.894
individuo	N	30222	76.228	87.547
2	M	30218	76.218	87.535
asociar	V	30149	76.044	87.335
moderno	A	30142	76.026	87.315
noviembre	N	30133	76.003	87.289
jamás	R	30118	75.965	87.245
caja	N	30047	75.786	87.04
democracia	N	30042	75.774	87.025
solicitar	V	30041	75.771	87.022
lunes	N	29981	75.62	86.849
recorrer	V	29972	75.597	86.823
ambiental	A	29964	75.577	86.799
terreno	N	29903	75.423	86.623
deporte	N	29900	75.416	86.614
fotografía	N	29893	75.398	86.594
constitución	N	29880	75.365	86.556
frase	N	29870	75.34	86.527
juicio	N	29820	75.214	86.382
régimen	N	29805	75.176	86.339
asimismo	R	29764	75.073	86.22
instante	N	29758	75.057	86.203
septiembre	N	29742	75.017	86.156
revolución	N	29731	74.989	86.124
recién	R	29699	74.909	86.032
febrero	N	29671	74.838	85.951
ordenar	V	29636	74.75	85.849
criterio	N	29634	74.745	85.843
profesional	N	29570	74.583	85.658
alma	N	29559	74.555	85.626
30	M	29552	74.538	85.606
perro	N	29520	74.457	85.513
labor	N	29500	74.407	85.455
teoría	N	29455	74.293	85.325
gusto	N	29426	74.22	85.241
convencer	V	29405	74.167	85.18
viento	N	29373	74.086	85.087
Francia	K	29361	74.056	85.053
tecnológico	A	29296	73.892	84.864
actuación	N	29176	73.589	84.517
transformar	V	29053	73.279	84.16
partir	V	29039	73.244	84.12
voto	N	28988	73.115	83.972
tamaño	N	28986	73.11	83.966
reflejar	V	28958	73.04	83.885
canal	N	28867	72.81	83.622
responsable	N	28858	72.787	83.595
amar	V	28853	72.775	83.581
vino	N	28841	72.744	83.546
fase	N	28806	72.656	83.445
respecto a	P	28699	72.386	83.135
b	N	28693	72.371	83.118
esperanza	N	28692	72.369	83.115
consistir	V	28652	72.268	82.999
presentación	N	28650	72.263	82.993
lenguaje	N	28649	72.26	82.99
interesante	A	28632	72.217	82.941
radio	N	28603	72.144	82.857
agencia	N	28600	72.137	82.848
cadena	N	28594	72.121	82.831
comportamiento	N	28536	71.975	82.663
legal	A	28440	71.733	82.385
conciencia	N	28420	71.683	82.327
marido	N	28384	71.592	82.222
$	N	28379	71.579	82.208
sonido	N	28350	71.506	82.124
herramienta	N	28341	71.483	82.098
hallar	V	28252	71.259	81.84
entorno	N	28244	71.239	81.817
hasta	R	28239	71.226	81.802
deportivo	A	28228	71.198	81.771
debate	N	28210	71.153	81.718
aun	R	28196	71.118	81.678
caber	V	28169	71.05	81.6
previo	A	28148	70.997	81.539
oferta	N	28145	70.989	81.53
latino	A	28112	70.906	81.434
ritmo	N	28088	70.845	81.365
velocidad	N	28075	70.812	81.327
recomendar	V	28040	70.724	81.226
periodo	N	28032	70.704	81.203
interpretar	V	28025	70.686	81.182
tono	N	28025	70.686	81.182
torneo	N	28019	70.671	81.165
digital	A	28003	70.631	81.119
poeta	N	27973	70.555	81.032
liga	N	27946	70.487	80.954
presupuesto	N	27931	70.449	80.91
ventaja	N	27872	70.3	80.739
por supuesto	R	27867	70.288	80.725
república	N	27861	70.273	80.707
a	N	27836	70.21	80.635
propósito	N	27833	70.202	80.626
prestar	V	27811	70.147	80.563
rodear	V	27804	70.129	80.542
sonrisa	N	27764	70.028	80.426
perspectiva	N	27730	69.942	80.328
mil	N	27727	69.935	80.319
pegar	V	27679	69.814	80.18
agosto	N	27677	69.809	80.174
búsqueda	N	27657	69.758	80.116
peligro	N	27649	69.738	80.093
pleno	A	27601	69.617	79.954
musical	A	27575	69.551	79.879
verde	A	27538	69.458	79.772
ejército	N	27481	69.314	79.607
comprobar	V	27475	69.299	79.589
beber	V	27448	69.231	79.511
manejar	V	27445	69.223	79.502
acerca de	P	27443	69.218	79.497
registro	N	27421	69.163	79.433
emplear	V	27407	69.128	79.392
madera	N	27406	69.125	79.389
facilitar	V	27351	68.986	79.23
crítica	N	27325	68.921	79.155
delante	R	27312	68.888	79.117
solamente	R	27304	68.868	79.094
flor	N	27279	68.805	79.021
gana	N	27251	68.734	78.94
sombra	N	27239	68.704	78.906
introducir	V	27226	68.671	78.868
procedimiento	N	27218	68.651	78.845
baño	N	27202	68.61	78.798
concreto	A	27170	68.53	78.706
planeta	N	27152	68.484	78.654
artístico	A	27106	68.368	78.52
judicial	A	27076	68.293	78.433
delito	N	27055	68.24	78.373
triunfo	N	26998	68.096	78.207
pago	N	26989	68.073	78.181
lluvia	N	26987	68.068	78.176
por tanto	R	26969	68.023	78.123
sentimiento	N	26964	68.01	78.109
cuidar	V	26925	67.912	77.996
limitar	V	26923	67.907	77.99
casar	V	26895	67.836	77.909
escapar	V	26894	67.834	77.906
oro	N	26883	67.806	77.874
mente	N	26869	67.771	77.834
ejercer	V	26848	67.718	77.773
voluntad	N	26848	67.718	77.773
lector	N	26827	67.665	77.712
habitante	N	26799	67.594	77.631
verano	N	26799	67.594	77.631
izquierda	N	26756	67.486	77.506
global	A	26730	67.42	77.431
6	N	26653	67.226	77.208
famoso	A	26633	67.175	77.15
cáncer	N	26611	67.12	77.086
nueve	M	26582	67.047	77.002
llenar	V	26580	67.042	76.997
abajo	R	26561	66.994	76.942
misión	N	26553	66.974	76.918
2006	N	26511	66.868	76.797
coincidir	V	26503	66.847	76.774
complejo	A	26454	66.724	76.632
dueño	N	26429	66.661	76.559
someter	V	26399	66.585	76.472
personal	N	26386	66.552	76.435
circunstancia	N	26351	66.464	76.333
frío	A	26342	66.441	76.307
transporte	N	26334	66.421	76.284
probar	V	26306	66.351	76.203
eléctrico	A	26296	66.325	76.174
adoptar	V	26284	66.295	76.139
abogado	N	26271	66.262	76.102
avance	N	26265	66.247	76.084
destinar	V	26253	66.217	76.049
percibir	V	26243	66.192	76.02
perfecto	A	26229	66.156	75.98
impulsar	V	26211	66.111	75.928
dirigente	N	26170	66.008	75.809
sencillo	A	26167	66.0	75.8
contra	N	26152	65.962	75.757
salvar	V	26148	65.952	75.745
tradición	N	26137	65.924	75.713
técnico	N	26134	65.917	75.705
absoluto	A	26120	65.881	75.664
cuento	N	26109	65.854	75.632
trasladar	V	26100	65.831	75.606
sexo	N	26093	65.813	75.586
diálogo	N	26090	65.806	75.577
2008	N	26081	65.783	75.551
superficie	N	26071	65.758	75.522
2003	N	26062	65.735	75.496
campeón	N	26021	65.632	75.377
pantalla	N	26021	65.632	75.377
alcalde	N	26012	65.609	75.351
promedio	N	25988	65.548	75.282
esconder	V	25971	65.506	75.232
12	M	25949	65.45	75.169
representación	N	25940	65.427	75.143
temperatura	N	25933	65.41	75.122
festival	N	25894	65.311	75.009
directamente	R	25854	65.21	74.894
20	N	25848	65.195	74.876
2005	N	25847	65.193	74.873
democrático	A	25835	65.163	74.839
os	L	25818	65.12	74.789
cubano	A	25794	65.059	74.72
pobreza	N	25787	65.041	74.699
espectáculo	N	25774	65.009	74.662
estatal	A	25766	64.989	74.639
distribución	N	25749	64.946	74.589
simplemente	R	25732	64.903	74.54
empresario	N	25728	64.893	74.529
medir	V	25669	64.744	74.358
significativo	A	25668	64.741	74.355
citar	V	25653	64.704	74.311
instalación	N	25647	64.688	74.294
raro	A	25629	64.643	74.242
alejar	V	25617	64.613	74.207
novio	N	25605	64.582	74.172
infantil	A	25599	64.567	74.155
leche	N	25561	64.471	74.045
conformar	V	25550	64.444	74.013
particular	A	25538	64.413	73.978
disminuir	V	25437	64.159	73.686
2000	N	25410	64.091	73.607
respeto	N	25405	64.078	73.593
periódico	N	25394	64.05	73.561
2004	N	25383	64.022	73.529
aclarar	V	25383	64.022	73.529
tabla	N	25377	64.007	73.512
cobrar	V	25375	64.002	73.506
definitivo	A	25357	63.957	73.454
componer	V	25339	63.912	73.402
encargar	V	25331	63.891	73.379
vencer	V	25303	63.821	73.297
3	M	25293	63.795	73.268
eliminar	V	25286	63.778	73.248
costa	N	25234	63.647	73.098
tender	V	25186	63.526	72.958
conservar	V	25136	63.4	72.814
reconocimiento	N	25133	63.392	72.805
evaluación	N	25073	63.241	72.631
medicina	N	25053	63.19	72.573
dimensión	N	25048	63.178	72.559
otorgar	V	25046	63.172	72.553
menos	Q	25020	63.107	72.478
frecuencia	N	24996	63.046	72.408
estimar	V	24978	63.001	72.356
2002	N	24973	62.988	72.341
llegada	N	24968	62.976	72.327
tranquilo	A	24902	62.809	72.136
activo	A	24891	62.782	72.104
señal	N	24814	62.587	71.881
letra	N	24741	62.403	71.669
bosque	N	24724	62.36	71.62
estación	N	24713	62.333	71.588
2007	N	24696	62.29	71.539
accidente	N	24693	62.282	71.53
Perú	K	24689	62.272	71.519
debajo	R	24665	62.212	71.449
brindar	V	24654	62.184	71.417
inglés	N	24644	62.159	71.388
playa	N	24615	62.085	71.304
conclusión	N	24610	62.073	71.29
2001	N	24587	62.015	71.223
adolescente	N	24579	61.995	71.2
en torno a	P	24579	61.995	71.2
jueves	N	24566	61.962	71.162
conferencia	N	24489	61.768	70.939
cargar	V	24485	61.758	70.928
evaluar	V	24480	61.745	70.913
religioso	A	24470	61.72	70.884
incrementar	V	24439	61.641	70.795
doble	A	24405	61.556	70.696
deuda	N	24398	61.538	70.676
2010	N	24377	61.485	70.615
rural	A	24373	61.475	70.603
concentrar	V	24341	61.394	70.511
principalmente	R	24323	61.349	70.459
muerto	N	24321	61.344	70.453
puro	A	24315	61.329	70.435
consumir	V	24302	61.296	70.398
acceder	V	24281	61.243	70.337
rico	A	24279	61.238	70.331
ausencia	N	24245	61.152	70.233
incremento	N	24238	61.135	70.212
frontera	N	24236	61.129	70.207
permanente	A	24140	60.887	69.928
merecer	V	24137	60.88	69.92
pecho	N	24135	60.875	69.914
emitir	V	24105	60.799	69.827
sugerir	V	24081	60.739	69.758
federal	A	24075	60.723	69.74
comunicar	V	24056	60.675	69.685
7	N	24051	60.663	69.671
crédito	N	24044	60.645	69.65
droga	N	24032	60.615	69.616
masa	N	23994	60.519	69.506
negativo	A	23987	60.501	69.485
colombiano	A	23981	60.486	69.468
numeroso	A	23966	60.448	69.424
original	A	23944	60.393	69.361
fundación	N	23943	60.39	69.358
sanitario	A	23917	60.325	69.282
bolsa	N	23913	60.315	69.271
científico	N	23903	60.29	69.242
auto	N	23900	60.282	69.233
cometer	V	23863	60.189	69.126
evolución	N	23858	60.176	69.112
especialista	N	23856	60.171	69.106
5	M	23851	60.158	69.091
femenino	A	23827	60.098	69.022
durar	V	23770	59.954	68.857
detectar	V	23749	59.901	68.796
4	M	23744	59.889	68.781
bastar	V	23742	59.883	68.776
disposición	N	23724	59.838	68.723
por lo tanto	R	23723	59.836	68.72
universitario	A	23715	59.815	68.697
amenaza	N	23706	59.793	68.671
influencia	N	23706	59.793	68.671
máquina	N	23681	59.73	68.599
despedir	V	23645	59.639	68.495
sorpresa	N	23637	59.619	68.471
web	N	23591	59.503	68.338
sede	N	23573	59.457	68.286
rechazar	V	23568	59.445	68.271
espíritu	N	23565	59.437	68.263
transmitir	V	23552	59.404	68.225
pintura	N	23547	59.392	68.211
manejo	N	23526	59.339	68.15
azul	A	23516	59.313	68.121
ingresar	V	23464	59.182	67.97
porcentaje	N	23463	59.18	67.967
seco	A	23419	59.069	67.84
impuesto	N	23410	59.046	67.814
aceite	N	23383	58.978	67.736
regla	N	23355	58.907	67.654
escaso	A	23335	58.857	67.597
colectivo	A	23275	58.706	67.423
productivo	A	23262	58.673	67.385
acusar	V	23256	58.658	67.368
p	N	23237	58.61	67.313
oposición	N	23230	58.592	67.292
indígena	A	23213	58.549	67.243
respetar	V	23210	58.542	67.234
martes	N	23200	58.516	67.205
abordar	V	23169	58.438	67.116
electrónico	A	23164	58.426	67.101
compra	N	23143	58.373	67.04
ruido	N	23109	58.287	66.942
Nueva York	K	23100	58.264	66.916
calor	N	23075	58.201	66.843
miércoles	N	23072	58.194	66.835
taller	N	23057	58.156	66.791
cultivo	N	23052	58.143	66.777
intenso	A	23044	58.123	66.754
comité	N	23038	58.108	66.736
evidente	A	23016	58.052	66.672
abierto	A	23014	58.047	66.667
jurídico	A	22992	57.992	66.603
hombro	N	22990	57.987	66.597
colgar	V	22978	57.956	66.562
denunciar	V	22977	57.954	66.559
salón	N	22977	57.954	66.559
Juan	K	22973	57.944	66.548
vincular	V	22966	57.926	66.528
individual	A	22965	57.924	66.525
protagonista	N	22964	57.921	66.522
admitir	V	22948	57.881	66.475
plato	N	22924	57.82	66.406
investigar	V	22901	57.762	66.339
París	K	22897	57.752	66.328
extranjero	A	22887	57.727	66.299
segundo	N	22881	57.712	66.281
Buenos Aires	K	22866	57.674	66.238
1	M	22854	57.644	66.203
efectivo	A	22820	57.558	66.105
atravesar	V	22743	57.364	65.882
firma	N	22736	57.346	65.861
diseñar	V	22726	57.321	65.832
	Y	22723	57.313	65.824
proporcionar	V	22719	57.303	65.812
jardín	N	22703	57.263	65.766
guardia	N	22702	57.26	65.763
negociación	N	22699	57.253	65.754
habitual	A	22684	57.215	65.711
actualidad	N	22660	57.154	65.641
célula	N	22641	57.106	65.586
30	N	22632	57.084	65.56
50	M	22631	57.081	65.557
volumen	N	22616	57.043	65.514
preocupación	N	22605	57.016	65.482
estadio	N	22600	57.003	65.467
carretera	N	22589	56.975	65.436
junto con	P	22585	56.965	65.424
prometer	V	22573	56.935	65.389
concierto	N	22559	56.9	65.349
comienzo	N	22555	56.89	65.337
silla	N	22546	56.867	65.311
labio	N	22510	56.776	65.207
sujeto	N	22501	56.753	65.181
pintar	V	22466	56.665	65.079
revisar	V	22449	56.622	65.03
encender	V	22436	56.589	64.992
inicial	A	22406	56.514	64.905
emoción	N	22397	56.491	64.879
intento	N	22394	56.483	64.871
restaurante	N	22387	56.466	64.85
resolución	N	22380	56.448	64.83
discusión	N	22374	56.433	64.813
empleado	N	22371	56.425	64.804
autónomo	A	22328	56.317	64.679
grito	N	22260	56.145	64.482
relato	N	22246	56.11	64.442
caracterizar	V	22240	56.095	64.425
disponible	A	22228	56.065	64.39
gas	N	22189	55.966	64.277
local	N	22179	55.941	64.248
cita	N	22175	55.931	64.236
tienda	N	22169	55.916	64.219
ciclo	N	22152	55.873	64.17
luchar	V	22109	55.765	64.045
